CON_TICKET_ID,VIC_DESCRIPTION,CLM_DESCRIPTION,CON_ISSUE_DATE,VKL_DESCRIPTION
11S00293,Parking Without Authorization,Wright Field Lot,15-01-24,Porsche
11S00294,Parking Without Authorization,Wright Field Lot,15-01-24,Subaru
11S00295,Parking Without Authorization,Wright Field Lot,15-01-24,Dodge
11S00296,Parking Without Authorization,Wright Field Lot,15-01-24,Dodge
11S00297,Parking Without Authorization,Wesbrook Mall,15-01-24,Volkswagen
11S00298,Parking Without Authorization,Wesbrook Mall,15-01-24,BMW
11S00299,Expired Time,GSAB Lot,15-01-24,Mazda
11S00300,Expired Time,GSAB Lot,15-01-24,Nissan
11S00301,Expired Time,Stadium Lot,15-01-24,Ford
11S00302,Expired Time,East Mall Road,15-01-24,Nissan
11S00303,Parking Without Authorization,Agronomy Road,15-01-24,Pontiac
11S00304,Parking Without Authorization,Thunderbird Boulevard,15-01-24,BMW
11S00305,Parking Without Authorization,Ritsumeikan Lot,15-01-24,Jaguar
11S00306,Parking Without Authorization,Ritsumeikan Lot,15-01-24,Ford
11S00307,Parking Without Authorization,Ritsumeikan Lot,15-01-24,Toyota
11S00308,Parking Without Authorization,Marine Drive Lot,15-01-24,BMW
